ranking,World Rank,University,Rank
420,18487,Bundesbank Hochschule - Startseite,1
421,18520,Fachhochschule Schwetzingen,1
422,18770,(3) Duale Hochschule Baden-Württemberg DHBW Karlsruhe,1
423,18997,Berufsakademie Melle,1
424,19085,Fachhochschule für Pflegeberufe im Gesundheitswesen in Berlin Campus Wannsee,1
425,19474,Fachhochschule für Sport und Management Potsdam,1
426,19684,Evangelische Hochschule Moritzburg,1
427,19706,Hochschule für Kirchenmusik Rottenburg,1
428,19768,Wildau Institute of Technology,1
429,19793,Fachhochschule Schwäbisch Hall Hochschule für Gestaltung,1
430,19803,Lutherischen Theologischen Hochschule Oberursel,1
431,19875,Leibniz Akademie Hannover,1
432,20308,International Max Planck Research School for Neurosciences,1
433,20494,Hochschule für Musik Nürnberg Augsburg,1
434,20681,Hochschule für Kirchenmusik Herford,1
435,20689,Hochschule für Musik Saar,1
436,20865,Verwaltungs und Wirtschaftsakademie und Berufsakademie,1
437,21069,(3) Duale Hochschule Baden-Württemberg DHWB Ravensburg,1
438,21140,Fachhochschule für Verwaltung und Dienstleistung in Schleswig Holstein,1
439,21315,Berufsakademie Ost-Friesland,1
440,21414,Hochschule Hamm-Lippstadt,1
441,21728,International Max Planck Research School for Molecular Biology,1
442,21833,Bayerische Akademie für Verwaltungs Management,1
443,22197,Katholischen Hochschule fur Soziale Arbeit,1
444,22387,(3) Duale Hochschule Baden Württemberg DHBW Heidenheim,1
445,23226,DPFA Hochschule Sachsen,1
446,23577,Landesfinanzschule Edenkoben,1
447,24300,Hochschule für Öffentliche Verwaltung Bremen,1
448,25238,Fachhochschule fur Offentliche Verwaltung,1
449,25270,Verwaltungs und Wirtschaftsakademie Aachen,1
450,25607,Fachhochschule für Rechtspflege Nordrhein-Westfalen,1
451,26233,Brand University of Applied Sciences,1
452,26674,Center of Optoelectronics and Photonics University of Paderborn,1
453,28089,International Max Planck Research School for Demography,1
454,28434,Norddeutsche Hochschule für Rechtspflege,1
455,28683,International Max Planck Research School for Dynamical Processes in Atoms Molecules and Solids,1
